t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
4.66,-0.01913,-0.01808,0.0454,0.0472
4.67,-0.01901,-0.01767,0.0382,0.0373
4.68,-0.01895,-0.017,0.0366,0.026
4.69,-0.01889,-0.01662,0.0334,0.0427
4.7,-0.01883,-0.01612,0.0323,0.045
4.71,-0.01877,-0.01574,0.0287,0.0366
4.72,-0.01871,-0.01528,0.0284,0.0365
4.73,-0.01867,-0.0149,0.0219,0.0495
4.74,-0.01864,-0.01468,0.0169,0.0351
4.75,-0.01866,-0.01452,0.0127,0.0313
4.76,-0.01867,-0.01442,0.0163,0.0475
4.77,-0.01868,-0.01418,0.0056,0.0418
4.78,-0.01869,-0.01409,0.0064,0.0237
4.79,-0.0208,-0.01424,-0.0041,-0.0268
4.8,-0.02429,-0.01423,-0.005,-0.0677
4.81,-0.02437,-0.01431,-0.0094,-0.0686
4.82,-0.02446,-0.01418,-0.0093,-0.0271
4.83,-0.02454,-0.01419,-0.0049,-0.0298
4.84,-0.02462,-0.01423,-0.006,-0.0466
4.85,-0.02471,-0.0142,-0.0009,-0.0374
4.86,-0.02479,-0.01419,-0.0026,-0.0588
4.87,-0.02492,-0.01418,-0.0015,-0.0633
4.88,-0.02509,-0.01421,-0.0011,-0.0586
4.89,-0.02528,-0.01424,0.0007,-0.066
4.9,-0.02547,-0.01418,-0.0055,-0.0595
4.91,-0.02565,-0.01412,-0.0039,-0.07
4.92,-0.02584,-0.01421,-0.0072,-0.0779
4.93,-0.02603,-0.01432,-0.0096,-0.0686
4.94,-0.02625,-0.01421,-0.0118,-0.0908
4.95,-0.02649,-0.01435,-0.0107,-0.0875
4.96,-0.02672,-0.01464,-0.0138,-0.0925
4.97,-0.02696,-0.01488,-0.0169,-0.0979
4.98,-0.0272,-0.01501,-0.0212,-0.0944
4.99,-0.02744,-0.0153,-0.0233,-0.0793
5,-0.02768,-0.01549,-0.0273,-0.1234
5.01,-0.02793,-0.0169,-0.0341,-0.105
5.02,-0.02819,-0.01725,-0.0402,-0.1232
5.03,-0.02845,-0.01793,-0.042,-0.0954
5.04,-0.02871,-0.01829,-0.0413,-0.1158
5.05,-0.02896,-0.01877,-0.0464,-0.1211
5.06,-0.02922,-0.01926,-0.0465,-0.0871
5.07,-0.02948,-0.0199,-0.0462,-0.1039
5.08,-0.02975,-0.02055,-0.0451,-0.1238
5.09,-0.03001,-0.02095,-0.0444,-0.1122
5.1,-0.03028,-0.0216,-0.0432,-0.0911
5.11,-0.03054,-0.02213,-0.0458,-0.1203
5.12,-0.03081,-0.0227,-0.0475,-0.1233
5.13,-0.03107,-0.02344,-0.0452,-0.094
5.14,-0.03134,-0.024,-0.0476,-0.0955
5.15,-0.03161,-0.02464,-0.049,-0.1021
5.16,-0.03188,-0.02541,-0.0502,-0.1065
